r (angstrom)  ,  normalised by natoms
      0.00 ,      0.00000000
      0.10 ,      0.00000000
      0.20 ,      0.00000000
      0.30 ,      0.00000000
      0.40 ,      0.00000000
      0.50 ,      0.00000000
      0.60 ,      0.00000000
      0.70 ,      0.00000000
      0.80 ,      0.00000002
      0.90 ,      0.00000027
      1.00 ,      0.00000311
      1.10 ,      0.00002907
      1.20 ,      0.00022312
      1.30 ,      0.00140466
      1.40 ,      0.00725337
      1.50 ,      0.03072520
      1.60 ,      0.10677853
      1.70 ,      0.30448130
      1.80 ,      0.71250236
      1.90 ,      1.36849054
      2.00 ,      2.15807223
      2.10 ,      2.79634459
      2.20 ,      2.98404881
      2.30 ,      2.64201381
      2.40 ,      1.98825213
      2.50 ,      1.36565069
      2.60 ,      0.99731204
      2.70 ,      0.89655821
      2.80 ,      0.96519426
      2.90 ,      1.13614937
      3.00 ,      1.41335858
      3.10 ,      1.79193260
      3.20 ,      2.17639935
      3.30 ,      2.41957862
      3.40 ,      2.45890641
      3.50 ,      2.39536922
      3.60 ,      2.41612178
      3.70 ,      2.64132285
      3.80 ,      3.04719615
      3.90 ,      3.50546164
      4.00 ,      3.85818763
      4.10 ,      3.96748216
      4.20 ,      3.76010545
      4.30 ,      3.27802187
      4.40 ,      2.67825221
      4.50 ,      2.14432112
      4.60 ,      1.77756888
      4.70 ,      1.57098531
      4.80 ,      1.47019935
      4.90 ,      1.43493985
      5.00 ,      1.44744964
      5.10 ,      1.49646453
      5.20 ,      1.57287605
      5.30 ,      1.66637021
      5.40 ,      1.75053139
      5.50 ,      1.78463930
      5.60 ,      1.74997338
      5.70 ,      1.67394779
      5.80 ,      1.59303307
      5.90 ,      1.49588768
      6.00 ,      1.33354130
      6.10 ,      1.09637670
      6.20 ,      0.86103638
      6.30 ,      0.74613621
      6.40 ,      0.82323903
      6.50 ,      1.06548827
      6.60 ,      1.36827334
      6.70 ,      1.61844596
      6.80 ,      1.75530519
      6.90 ,      1.77660481
      7.00 ,      1.70612425
      7.10 ,      1.58124263
      7.20 ,      1.46465431
      7.30 ,      1.42060426
      7.40 ,      1.44849336
      7.50 ,      1.46103840
      7.60 ,      1.36181471
      7.70 ,      1.14516078
      7.80 ,      0.90185842
      7.90 ,      0.72658813
      8.00 ,      0.63492961
      8.10 ,      0.57309117
      8.20 ,      0.49274128
      8.30 ,      0.40359012
      8.40 ,      0.35828194
      8.50 ,      0.39887882
      8.60 ,      0.51930341
      8.70 ,      0.66868354
      8.80 ,      0.78332518
      8.90 ,      0.82065711
      9.00 ,      0.77795957
      9.10 ,      0.69538373
      9.20 ,      0.64462310
      9.30 ,      0.69487213
      9.40 ,      0.85894939
      9.50 ,      1.05991075
      9.60 ,      1.16803954
      9.70 ,      1.09703572
      9.80 ,      0.87372310
      9.90 ,      0.61138709
     10.00 ,      0.41679322
     10.10 ,      0.32182705
     10.20 ,      0.28900043
     10.30 ,      0.26440055
     10.40 ,      0.22269896
     10.50 ,      0.17284223
     10.60 ,      0.13375495
     10.70 ,      0.11124183
     10.80 ,      0.09620928
     10.90 ,      0.07806446
     11.00 ,      0.05498195
     11.10 ,      0.03240708
     11.20 ,      0.01576079
     11.30 ,      0.00629266
     11.40 ,      0.00205892
     11.50 ,      0.00055173
     11.60 ,      0.00012106
     11.70 ,      0.00002175
     11.80 ,      0.00000320
     11.90 ,      0.00000039
     12.00 ,      0.00000004
